"Lect","Author","Year","Title","Publisher","School","Booktitle","Editor","Journal","Pages","Volume","Number","Edition"
"Pu-Xian Chinese","Fújiàn Shěng Dìfāngzhì Biānzuǎn Wěiyuánhuì Biān",1999,"Fujiansheng zhi / Fangyan zhi 福建省志 / 方言志 [Fujian province / Dialect]","Zhongguo Shehui Kexue Chubanshe 中国社会科学出版社","","","","","","",,""
"Puma","Sharma, Narayan Prasad",2014,"Morphosyntax of Puma, a Tibeto-Burman language of Nepal","","University of London","","","","","",,""
"Purik-Sham-Nubra","Zemp, Marius",2017,"A Grammar of Purik Tibetan","Brill","","","","","","",,""
"Pwo Eastern Karen","Kato 加藤, Atsuhiko 昌彦",2004,"Pō karen-go bunpō ポー・カレン語文法 [A Pwo Karen grammar]","","University of Tokyo 東京大学","","","","","",,""
"Qashqa'i","Dolatkhah, Sohrab",2019,"Qashqai Turkic: A Comprehensive Corpus-based Grammar","LINCOM","","","","","","",,""
"Rabha","Joseph, U. V.",2007,"Rabha","Brill","","","","","","",,""
"Rajbanshi","Wilde, Christopher P.",2008,"A Sketch of the Phonology and Grammar of Rājbanshi","","University of Helsinki","","","","","",,""
"Ravula","Mallikarjun, B.",1993,"A Descriptive Analysis of Yerava","Central Institute of Indian Languages","","","","","","",,""
"Romanian","Chitoran, Ioana",2001,"The Phonology of Romanian","De Gruyter","","","","","","",,""
"Romansh","Maurer-Cecchini, Philippe",2021,"A grammar of Tuatschin","Language Science Press","","","","","","",,""
"Russia Buriat","Nicholas N. Poppe",1960,"Buriat Grammar","Indiana University","","","","","","",,""
"Russian","Koga 古賀, Yosiaki 義顕",2007,"Gendai rosiagogakuno tameno kisoteki kijyutsuhōno kenkyū 現代ロシア語学のための基礎的記述法の研究 [Research on the basic description for the study of modern Russian]","","Tokyo University","","","","","",,""
"Rusyn","Pugh, Stefan M.",2009,"The Rusyn language : a grammar of the literary standard of Slovakia with reference to Lemko and Subcarpathian Rusyn","Lincom Europa","","","","","","",,""
"Rutul","Alekseev, Mikhail E.",1994,"Rutul","Caravan Books","","The indigenous languages of the Caucasus","Smeets, Rieks","","213--258","4",,""
"Sadri","Srivastava, Surendra Prasad",1989,"A linguistic study of Nagpuriya --- a lingua franca of Chhotanagpur of Bihar","","University of Calcutta","","","","","",,""
"Sadu","Bai 白, Bibo 碧波",2012,"Sadou yu yanjiu 撒都语研究 [A study of Sadu]","Minzu Chubanshe 民族出版社","","","","","","",,""
"Sakha","Pakendorf, Brigitte and Stapert, Eugénie",2020,"Sakha and Dolgan, the North Siberian Turkic languages","Oxford University Press","","The Oxford Guide to the Transeurasian Languages","Robbeets, Martine and Savelyev, Alexander","","430----445","",,""
"Salar","Xu 许, Yina 伊娜 and Wu 吳, Hongwei 宏伟",2005,"Xinjiang Sala Yu 新疆撒拉语 [Xinjiang Salar Language]","Xinjiang Daxue Chubanshe 新疆大学出版社","","","","","","",,""
"Sanaani Arabic","Watson, Janet C. E.",1993,"A syntax of Ṣanāͨnī Arabic","Harrassowitz","","","","","","",,""
"Sangkong","Li 李, Yongsui 永燧",2002,"Sangkongyu Yanjiu 桑孔语研究 [A study of Sangkong]","Zhongyang Minzu Daxue Chubanshe 中央民族大学出版社","","","","","","",,""
"Sani","Ma 马, Xueliang 学良",1951,"Sani Yiyu yanjiu 撒尼彝语研究 [Research on the Sani Yi Language]","Zhongguo kexuyuan 中国科学院","","","","","","",,""
"Santali","Lukas, Neukom",2001,"Santali","Lincom Europa","","","","","","",,""
"Sarikoli","Gao, Erqiang",1985,"Tǎjíkèyǔ jiǎnzhì 塔吉克语简志 [A concise grammar of Tajik]","Minzu Chubanshe 民族出版社","","","","","","",,""
"Saurashtra","Joshi, L. G.",1964,"A descriptive grammar of the Khatri Dialect","","Savitribai Phule Pune University","","","","","",,""
"Scots","Grant, William and Dixon, James Main",1921,"Manual of Modern Scots","Cambridge University Press","","","","","","",,""
"Scottish Gaelic","Lamb, William",2001,"Scottish Gaelic","Lincom Europa","","","","","","",,""
"Sedang","Smith, Kenneth D.",1975,"Phonology and syntax of Sedang, a Vietnam Mon-Khmer language","","University of Pennsylvania","","","","","",,""
"Selkup","Kazakevič, Olga A.",2022,"Selkup","Oxford University Press","","The Oxford guide to the Uralic languages","Bakró-Nagy, Marianne and Laakso, Johanna and Skribnik, Elena","","777--816","",,""
"Semelai","Kruspe, Nicole",2004,"A grammar of Semelai","Cambridge University Press","","","","","","",,""
"Serbian-Croatian-Bosnian","Hodge, Carleton T.",1946,"Serbo-Croatian Phonemes","","","","","Language","112--120","22",,""
"Shina","Ahmed, Musavir",2019,"A descriptive grammar of Gurezi Shina","SIL International","","","","","","",,""
"Shixing","Sun 孙, Hongkai 宏开",2014,"Shixing yu yanjiu 史兴语研究 [A study of Shixing]","Minzu Chubanshe 民族出版社","","","","","","",,""
"Sholaga","Gowda, K. S. Gurubasave",1968,"Descriptive Analysis of Soliga","","Deccan College","","","","","",,""
"Shor","Kazagasheva, Uliana",2016,"Phonemic inventory of the Shor language","","Eastern Michigan University","","","","","",,""
"Shughni","Nawata, Tetsuo",1979,"Shughni","Institute for the Study of Languages and Cultures of Asia and Africa, Tokyo University of Foreign Studies","","","","","","",,""
"Sichuan Yi","Gerner, Matthias",2013,"A Grammar of Nuosu","De Gruyter Mouton","","","","","","",,""
"Sikkimese","Yliniemi, Juha",2019,"A Descriptive Grammar of Denjongke (Sikkimese Bhutia)","","University of Helsinki","","","","","",,""
"Sindhi","Jetley, Murlidhar Kishinchand",1964,"Morphology of sindhi (A descriptive analysis of vicoli, the standard sindhi dialect)","","Deccan College","","","","","",,""
"Sinhala","Coates, W. A. and de Silva, M. W. S.",1960,"The Segmental Phonemes of Sinhalese","","","","","University of Ceylon Review","163–175","18",,""
"Sinte-Manus Romani","Holzinger, Daniel",1993,"Das Rómanes: Grammatik und Diskursanalyse der Sprache der Sinte [The Rómanes: Grammar of discourse analysis of the Sinte language]","Verlag des Institut für Sprachwissenschaft der Universität Innsbruck","","","","","","",,""
"Situ","Prins, Marielle",2016,"A grammar of rGyalrong, Jiǎomùzú (Kyom-kyo) dialects: a web of relations","Brill","","","","","","",,""
"Skolt Saami","Feist, Timothy",2010,"A Grammar of Skolt Saami","","University of Manchester","","","","","",,""
"Slavomolisano","Sammartino, Antonio",2004,"Grammatica della lingua croato-molisana [Grammar of the Croato-Molisan language]","Fondazione ``Agostina Piccoli''","","","","","","",,""
"Slovak","Boisserie, Etienne and Jamborová, Diana and Křečková, Vlasta",2009,"Parlons Slovaque: Une langue slave [Let's speak Slovak: A Slavic language]","L'Harmattan","","","","","","",,""
"Slovenian","Priestly, Tom M. S.",1993,"Slovene","Routledge","","The Slavonic languages","Comrie, Bernard and Corbett, Greville G.","","388----451","",,""
"Solu-Khumbu Sherpa","Graves, Thomas E.",2007,"A Grammar of Hile Sherpa","","State University of New York at Buffalo","","","","","",,""
"Sora","Mishra, K. C. and Dash, Jagannath",1994,"Saura Language (Saura Grammar & Dictionary)","Institute of Orissan Culture","","","","","","",,""
"South Azerbaijani","Lee, Sooman Noah",2008,"A Grammar of Iranian Azerbaijani","Thaehaksa","","","","","","",,""
"South Levantine Arabic","Kimary N. Shahin",1995,"Rural Palestinian Arabic","Lincom","","","","","","",,""
"South Saami","Kowalik, Richard",2023,"Towards a grammar of spoken South Saami","","Stockholm University","","","","","",,""
"South Wa","Yamada 山田, Atsushi 敦士",2020,"Parauku wago パラウク・ワ語 [Parauk Wa]","Kuroshio Shuppan くろしお出版","","","","","","",,""
"Southeast Pashayi","Lehr, Rachel",2014,"A descriptive grammar of Pashai: The language and speech community of Darrai Nur","","University of Chicago","","","","","",,""
"Southern Altai","Dyrenkova Дыренкова, N. P. Н. П.",1940,"Grammatika ojrotskogo jazyka Грамматика ойротского языка [Grammar of the Oirot language]","Izdatel'stvo Akademii Nauk SSSR Издательство Академии Наук СССР","","","","","","",,""
"Southern Amami-Oshima","Niinaga, Yuto",2014,"A grammar of Yuwan, a northern Ryukyuan language","","University of Tokyo","","","","","",,""
"Southern Jinghpaw","Liu 刘, Lu 璐",1984,"Jingpo-zu yuyan jianzhi (jingpoyu) 景颇族语言简志(景颇语) [Description of the language of the Jingpho people (Jinpho language)]","National Minorities Publ.","","","","","","",,"1"
"Southern Kurdish","Fattah, Ismaïl Kamandar",1988,"Dialectes kurdes du Sud: étude linguistique du dialecte kirmanshâhî-faylî (kalhorî, kirmanshâh, khânaqînî, bayray-shîrwânî, malikshây-arkowâzî) [South Kurdish dialects: linguistic study of the Kirmanshâhî-faylî dialect (kalhorî, kirmanshâh, khânaqînî, bayray-shîrwânî, malikshây-arkowâzî)]","","Université de Paris 7 - Dénis Diderot","","","","","",,""
"Southern Pashto","Anne Boyle David",2013,"Descriptive Grammar of Pashto and its Dialects","De Gruyter Mouton","","","","","","",,""
"Southern Pumi","Jiang 蔣, Ying 颖",2015,"Dayang pumiyu cankao yufa 大羊普米语參考语法 [Reference grammar of Dayang Pumi]","Zhongguo Shehui Kexue Chubanshe 中国社会科学出版社","","","","","","",,""
"Southern Qiang","Zheng, Wuxi",2016,"A Grammar of Longxi Qiang","","National University of Singapora","","","","","",,""
"Southern Rengma Naga","Longmailai, Monali",2014,"The Morphosyntax of Dimasa","","North-Eastern Hill University","","","","","",,""
"Southern Yukaghir","Maslova, Elena",2003,"A Grammar of Kolyma Yukaghir","Mouton de Gruyter","","","","","","",,""
"Southwestern Dargwa","Forker, Diana",2020,"A grammar of Sanzhi Dargwa","Language Science Press","","","","","","",,""
"Spanish","Clegg, J. Halvor and Fails, Willis C",2018,"Manual de fonética y fonología españolas [Manual of Spanish phonetics and phonology]","Routledge","","","Klee, Carol","","","",,""
"Sri Lanka Malay","Nordhoff, Sebastian",2009,"A Grammar of Upcountry Sri Lanka Malay","","Universiteit van Amsterdam","","","","","",,""
"Standard Arabic","Ryding, Karin C.",2005,"A Reference Grammar of Modern Standard Arabic","Cambridge University Press","","","","","","",,""
"Standard Malay","Tadmor, Uri",2018,"Malay-Indonesian","Routledge","","The World's Major Languages","Comrie, Bernard","","809----837","",,"2"
"Stau-Dgebshes","Honkasalo, Sami",2019,"A grammar of Eastern Geshiza: A Culturally Anchored Description","","University of Helsinki","","","","","",,""
"Sui","Wei 韦, Xuechun 学纯",2011,"Shuǐyǔ miáoxiě yánjiū 水语描写研究 [A description of the Sui]","","Normal University of Shanghai 上海师范大学","","","","","",,""
"Sunwar","Rapacha, Lal B.",2005,"A descriptive grammar of Kirānti-Kõits","","Jawaharlal Nehru University","","","","","",,""
"Swedish","Riad, Tomas",2013,"The Phonology of Swedish","Oxford University Press","","","","","","",,""
"Tabasaran","Alekseev Алексеев, Mixail Михаил and Shixalieva Шихалиева, Sabrina Сабрина",2003,"Tabasaranskij jazyk Табасаранский язык [Tabasaran language]","Academia","","","","","","",,""
"Tai Do-Mene-Yo","Chamberlain, James R.",1991,"Mène: a Tai dialect originally spoken in Nghê An (Nghê Tinh), Viêtnam - preliminary linguistic observations and historical implications","","","","","Journal of the Siam Society","103--123","79",2,""
"Taiga Sayan Turkic","Ragagnin, Elisabetta",2011,"Dukhan, a Turkic variety of Northern Mongolia: Description and analysis","Harrassowitz","","","","","","",,""
"Tajik","Perry, John R.",2005,"A Tajik Persian reference grammar","Brill","","","","","","",,""
"Tamil","Asher, Ronald E",1985,"Tamil","Croom Helm","","","","","","",,""
"Tangam","Post, Mark W.",2017,"The Tangam Language: Grammar, Dictionary and Texts","Brill","","","","","","",,""
"Tatar","Chen 陈, Zhongzhen 宗振 and Yi 伊, Liqian 里千",1986,"Tataer-yu jianzhi 塔塔尔语简志 [Concise grammar of tatar]","Minzu Chubanshe 民族出版社","","","","","","",,"1"
"Telugu","Krishnamurti, Bh.",1998,"Telugu","Roudledge","","The Dravidian Languages","Steever, Sanford B.","","202–240","",,""
"Thado Chin","Haokip, Marykim",2014,"Grammar of Thadou-Kuki: A Descriptive Study","","Jawaharlal Nehru University","","","","","",,""
"Thai","Iwasaki, Shoichi and Ingkaphirom, Preeya",2005,"A Reference Grammar of Thai","Cambridge University Press","","","","","","",,""
"Thakali","Georg, Stefan",1996,"Marphatan Thakali: Untersuchungen zur Sprache des Dorfes Marpha im Oberen Kāli-Ganṇḍaki-Tal/Nepal [Marphatan Thakali: Studies on the language of the village of Marpha in the Upper Kāli Ganṇḍaki Valley/Nepal]","Lincom","","","","","","",,""
"Thangmi","Turin, Mark",2011,"A Grammar of the Thangmi Language: With an Ethnolinguistic Introduction to the Speakers and Their Culture","Brill","","","","","","",,""
"Thulung","Lahaussois, Aimée",2002,"Aspects of the Grammar of Thulung Rai: An endangered Himalayan Language","","University of California at Berkeley","","","","","",,""
"Tibetan","Scott DeLancey",2017,"Lhasa Tibetan","Routledge","","The Sino-Tibetan Languages","Graham Thurgood and Randy J. LaPolla","","385--403","",,"2"
"Tindi","Магомедбекова Magomedbekova, З. М. Z. M.",1998,"Tindinskij Jazyk Тиндинский язык [Tindi language]","Academia","","Языки мира: кавказские языки Jazyki mira: kavkazskie jazyki [Languages of the world: Caucasian languages]","Alekseev Алексеев, M. E. М. Е.","","258--265","",,""
"Toda","S. Sakthivel",1976,"Phonology of Toda with vocabulary","Annamalai University","","","","","","",,""
"Tornedalen Finnish","Söderholm, Eira",2017,"Kvensk grammatikk [Kven grammar]","Cappelen Damm Akademisk","","","","","","",,""
"Tsakhur","Talibov, Bukar B.",2004,"Tsakhur","Caravan Books","","The indigenous languages of the Caucasus","Job, Michael","","347--419","",,""
"Tsat","Thurgood, Graham and Thurgood, Ela and Fengxiang, Li",2014,"A Grammatical Sketch of Hainan Cham: History, Contact, and Phonology","Mouton","","","","","","",,""
"Tsez","Alekseev, Mikhail E. and Radžabov, Ramazan N.",2004,"Tsez","Caravan Books","","The indigenous languages of the Caucasus","Job, Michael","","115--163","",,""
"Tshangla","Andvik, Erik E.",1999,"Tshangla Grammar","","University of Oregon","","","","","",,""
"Tulu","Bhatt, Sooda Lakshminarayana",1971,"A Grammar of Tulu (A Dravidian Language)","","University of Wisconsin","","","","","",,""
"Tundra Nenets","Nikolaeva, Irina",2014,"A Grammar of Tundra Nenets","Mouton de Gruyter","","","","","","",,""
"Turkic Khalaj","Doerfer, Gerhard",1971,"Khalaj materials","Curzon","","","","","","",,""
"Turkish","Göksel, Aslı and Kerslake, Celia",2005,"Turkish: A Comprehensive Grammar","Routledge","","","","","","",,""
"Turkmen","Clark, Larry",1998,"Turkmen reference grammar","Harrassowitz","","","","","","",,""
"Turoyo","Otto Jastrow",2011,"Ṭuroyo and Mlaḥsô","De Gruyter Mouton","","The Semitic Languages: An International Handbook","Stefan Weninger","","697----707","",,""
"Tuvinian","Gregory D. Anderson and David K. Harrison",1999,"Tyvan","Lincom","","","","","","",,""
"Udi","Schulze, Wolfgang",1982,"Die Sprache der Uden in Nord-Azerbajdžan: Studien zur Synchronie und Diakronie einer Süd-ostkaukasischen Sprache [The language of the Uden in North Azerbaijan: Studies in the synchrony and diacrony of a South-East Caucasian language]","Otto Harrassowitz","","","","","","",,""
"Udihe","Nikolaeva, Irina and Tolskaya, Maria",2001,"A Grammar of Udihe","Mouton de Gruyter","","","","","","",,""
"Udmurt","Eberhard Winkler",2001,"Udmurt","Lincom","","","","","","",,""
"Uighur","Tohti 托乎提, Litip 力提甫",2012,"Xiandai weiwueryu cankao yufa 现代维吾尔语参考语法 [A reference grammar of modern Uighur]","Zhongguo Shehui Kexue Chubanshe 中国社会科学出版社","","","","","","",,""
"Ukrainian","Press, Ian and Pugh, Stefan",1999,"Ukrainian : a comprehensive grammar","Routledge","","","","","","",,""
"Upper Sorbian","Schuster-Šewc, Heinz",1996,"Grammar of Upper Sorbian language: phonology and morphology","Lincom Europa","","","","","","",,""
"Urum","Podolsky, Baruch",1986,"Notes on the Urum language","","","","","Mediterranean Language Review","99--112","2",,""
"Vaagri Booli","Srinivasavarma, Govindaswamy",1967,"Descriptive study of Narikkurava dialect (A grammar of Va:grivellibo:li)","","Annamalai University","","","","","",,""
"Vach-Vasjugan","Filchenko, Andrey Y.",2007,"A Grammar of Eastern Khanty","","Rice University","","","","","",,""
"Vaghri","Shankerlal, Vyas Gajendra",1966,"The dialect of the Vaghers of Okhamandal: descriptive grammar","","Gujarat University","","","","","",,""
"Varhadi-Nagpuri","Jha, Aparna",1972,"Descriptive analysis of Koṣṭi","","Deccan College","","","","","",,""
"Veps","Viitso, Tiit-Rein",1987,"North Veps Phonology","Verband der wissenschaftlichen Gesellschaften Österreichs (VWGÖ)","","Studien zur Phonologie und Morphonologie der uralischen Sprachen: Akten der dritten Tagung für uralische Phonologie Eisenstadt, 28. Juni - 1. Juli 1984","Rédei, Károly","","304--312","",,""
"Vietnamese","Kirby, James P.",2011,"Vietnamese (Hanoi Vietnamese)","","","","","Journal of the International Phonetic Association","381----392","41",3,""
"Vlax Romani","Wagner, Peter",2012,"A Grammar of North West Lovari Romani","","Univerzitá Karlová v Praze","","","","","",,""
"Votic","Ariste, Paul",1968,"A grammar of the Votic language","Indiana University Publications","","","","","","",,""
"Waddar","Sarikar, Parappa D.",1998,"Bijapur Waḍḍa: Dialect [A synchronic linguistic analysis]","","Karnatak University","","","","","",,""
"Wakhi","Bashir, Elena",2009,"Wakhi","Routledge","","The Iranian Languages","Windfuhr, Gernot","","825--862","",,""
"Wambule","Opgenort, Jean R.",2004,"A Grammar of Wambule","Brill","","","","","","",,""
"Wayu","Michailovsky, Boyd",1981,"Grammaire de la Langue Hayu (Népal)","","University of California at Los Angeles","","","","","",,""
"Welsh","Hannahs, Stephen J",2013,"The phonology of Welsh","Oxford University Press","","","","","","",,""
"West Itelmen","Georg, Stefan and Volodin, Alexander P.",1999,"Die itemenische Sprache [The Itelman language]","Harrassowitz Verlag","","","","","","",,""
"West Yugur","Roos, Martina Erica",2000,"The Western Yugur (Yellow Uygur) Language: Grammar, Texts, Vocabulary","","Rijksuniversiteit te Leiden","","","","","",,""
"Western Armenian","Vaux, Bert",1998,"The phonology of Armenian","Oxford University Press","","","","","","",,""
"Western Balochi","Soohani, Bahareh",2017,"The Phonology of Iranian-Balochi Dialects: Description and Analysis","","Rijksuniversiteit te Leiden","","","","","",,""
"Western Farsi","Shahrzad, Mahootian Lewis Gebhardt",1997,"Persian","Routledge","","","","","","",,""
"Western Magar","Grunow-Hårsta, Karen A.",2008,"A descriptive grammar of two Magar dialects of Nepal: Tanahu and Syangja Magar","","University of Wisconsin-Milwaukee","","","","","",,""
"Western Muria","Andres, Susie",1978,"A Description of Muria Gondi Phonology and Morphology","","Deccan College","","","","","",,""
"Western Muya","Bai, Junwei",2019,"A grammar of Munya","","James Cook University","","","","","",,""
"Western Neo-Aramaic","Arnold, Werner",1990,"Das Neuwestaramäische V: Grammatik [The Western Neo-Aramaic V: Grammar]","Harrassowitz","","","","","","",,""
"Western Ong-Be","Liang 梁, Min 敏 and Zhang 张, Junru 圴如",1997,"Lingaoyu yanjiu 临高语研究 [The Lingao language]","Shanghai Yuandong Chubanshe 上海远东出版社","","","","","","",,""
"Western Parbate Kham","Watters, David E.",1998,"The Kham Language of West-Central Nepal (Takale Dialect)","","University of Oregon","","","","","",,""
"Western Puroik","Lieberherr, Ismael",2017,"A Grammar of Bulu Puroik","","Universität Bern","","","","","",,""
"Western Tamang","Dan Raj Regmi and Ambika Regmi",2018,"A Grammar of Western Tamang","LINCOM","","","","","","",,""
"Western Xiangxi Miao","Sposato, Adam",2015,"A grammar of Xong","","State University of New York at Buffalo","","","","","",,""
"Westphalic","Niebaum, Hermann",1974,"Zur synchronischen und historischen Phonologie des Westfälischen: die Mundart von Laer (Landkreis Osnabrück) [On the synchronic and historical phonology of Westphalian: the dialect of Laer (Osnabrück district)]","Böhlau","","","","","","",,""
"Wu Chinese","Qian 钱, Nairong 乃荣",1997,"Shanghaihua yufa 上海方言詞典 [Grammar of Shanghai Dialect]","Shanghai Renmin Chubanshe 上海人民出版社","","","","","","",,""
"Wuding-Luquan Yi","Pu 普, Zhongliang 忠良",2017,"Nasu yiyu yufa yanjiu 纳苏彝语语法研究 [A study on Nasu Yi grammar]","Yunnan Minzu Chubanshe 云南民族出版社","","","","","","",,""
"Wutunhua","Sandman, Erika",2016,"A Grammar of Wutun","","University of Helsinki","","","","","",,""
"Xibe","Jang 张, Taeho 泰鎬",2008,"Xiboyu yufa yanjiu 锡伯语语法研究 [Sibe grammar]","Yunnan Minzu Chubanshe 云南民族出版社","","","","","","",,""
"Yakkha","Schackow, Diana",2015,"A grammar of Yakkha","Language Science Press","","","","","","",,""
"Yamphu","Rutgers, Roland",1998,"Yamphu: Grammar, Texts & Lexicon","Research School of Asian, African and Amerindian Studies (CNWS), Universiteit Leiden","","","","","","",,""
"Yerong-Southern Buyang","Mo 莫, Haiwen 海文",2016,"Rongtun buyang yu cankao yufa 荣屯布央语参考语法 [Reference Grammar of Rongtun Buyang]","Zhongguo Shehui Kexue Chubanshe 中国社会科学出版社","","","","","","",,""
"Yongbei Zhuang","Wei 韦, Jingyun 景云 and He 何, Shuang 霜 and Luo 罗, Yongxian 永现",2011,"Yanqi Zhuangyu cankao yufa 燕齊壯語參考語法 [Reference Grammar of Yanqi Zhuang]","Zhongguo Shehui Kexue Chubanshe 中国社会科学出版社","","","","","","",,""
"Youle Jinuo","Gai 盖, XIngzhi 兴之",1986,"Jinuoyu jianzhi 基诺语简志 [A concise grammar of Jinuo]","Minzu Chubanshe 民族出版社","","","","","","",,""
"Yue Chinese","Bauer, Robert S. and Benedict, Paul K.",1997,"Modern Cantonese Phonology","Mouton de Gruyter","","","Winter, Werner","","","",,""
"Zaiwa","Lustig, Anton",2010,"A Grammar and Dictionary of Zaiwa","Brill","","","","","","",,""
"Zauzou","Li, Yu",2020,"A Grammar of Zauzou","","State University of New York at Buffalo","","","","","",,""
"Zbu","Gong, Xun",2018,"Le rgyalrong zbu, une langue tibéto-birmane de Chine du Sud-ouest: Une étude descriptive, typologique et comparative [Rgyalrong zbu, a Tibeto-Burman language of southwestern China: A descriptive, typological and comparative study]","","Université Sorbonne Paris","","","","","",,""
"Zeme Naga","Chanu, Sapam Sangita",2017,"A descriptive grammar of Zeme","","Assam University","","","","","",,""
